Date,ret_1m,ret_3m,vol_3m,mdd_6m,ma_gap_60,vkospi_z_6m,vkospi_change_5d,regime_kmeans,regime_hmm,63d_return,126d_return
2001-01-15,0.12002393884638174,0.07505654882434643,0.45727008712872647,-0.412075559528974,0.11106577069659385,0.03545866213128403,-0.21036382466781056,0,0,-0.059582641805352665,-0.10232049754147543
2001-01-16,0.08763517697720413,0.12849948217543172,0.44924777530848875,-0.412075559528974,0.11613915061434454,0.07506496435789443,-0.06097126229595862,0,0,-0.07810481292899063,-0.13126837556073057
2001-01-17,0.09713117467047838,0.13577972706603325,0.44820846359615507,-0.412075559528974,0.09933258625230801,0.2611105754835322,0.11378161805423481,0,0,-0.058556993853460915,-0.11615732673337309
2001-01-18,0.08283729871085876,0.09807310416541393,0.4392929663936411,-0.412075559528974,0.11145660024155246,0.14260849011921012,0.11657719926283461,0,0,-0.08014232948072375,-0.12907867275687834
2001-01-19,0.13226647624726895,0.2085016258190684,0.4170524208031192,-0.412075559528974,0.13782451086617464,-0.281671644155624,-0.05318226546030891,0,0,-0.08622414391446687,-0.14611645150375063
2001-01-22,0.17500002285960914,0.22031630212195608,0.41746482530438545,-0.412075559528974,0.14842389867628425,0.005490362338364209,0.003960401216096976,0,0,-0.10491675162821212,-0.13757272395388354
2001-01-26,0.09727957987187907,0.14890106732129205,0.4353663020659788,-0.412075559528974,0.081505365180089,0.04176920583799877,0.003921573653181909,0,0,-0.05931755487212664,-0.09835558969949576
2001-01-29,0.12385077570878922,0.09262415524262702,0.42038428136286315,-0.412075559528974,0.08849913416107591,0.11592737559014156,-0.019048194970694432,0,0,-0.03215206588367514,-0.09218156747217099
2001-01-30,0.14999708599011696,0.119177910025559,0.4151611884505497,-0.412075559528974,0.07679486295236426,0.03369250469981121,-0.009699397088713368,0,0,-0.0129198334316456,-0.04828025760397747
2001-01-31,0.20709119068574178,0.13367578567717997,0.4196264499219677,-0.412075559528974,0.12168545799666242,0.2913142854280725,0.12800142461506114,0,0,-0.05423111810275094,-0.08164611895667617
2001-02-01,0.22313220201270934,0.12901732985126957,0.41998606279778555,-0.412075559528974,0.10789605114964451,-0.21616652810508594,-0.028057952795157437,0,0,-0.04360609625891265,-0.07122323406987874
2001-02-02,0.20581821243021325,0.16195313905006503,0.41359541890450596,-0.412075559528974,0.09787195887795908,-0.7057929117516897,-0.1293467024614503,0,0,-0.019688372425204603,-0.06427489253045537
2001-02-05,0.11173809304829563,0.12384046059546883,0.4248567731868192,-0.412075559528974,0.044015869267158614,-0.08577736238320835,-0.027292142288007692,0,0,0.02028800425589461,-0.020132560406797118
2001-02-06,0.12494491174114719,0.1621659190496061,0.422877323896021,-0.412075559528974,0.05648753639158133,-1.064579605077091,-0.19764301148838825,0,0,-0.013195114066065217,-0.035187040211218434
2001-02-07,0.032561525167895455,0.11994640086176211,0.42339668174193995,-0.412075559528974,0.03728276184196466,-0.4667165789006323,-0.1364402932609261,0,0,0.009007449659687694,-0.04602651802162583
2001-02-08,0.018455766874169832,0.07801223995326811,0.4069856249633113,-0.412075559528974,0.06385619891173788,-0.9632811476533049,-0.13237062638856045,0,0,-0.014385465220113747,-0.06124377507342693
2001-02-09,0.01503442584507142,0.06695932046575259,0.4058917804789444,-0.412075559528974,0.06951952557357521,-1.5071261738812558,-0.14601754811898093,0,0,-0.01912767087118117,-0.056207655045314886
2001-02-12,0.015730996687203902,0.06921725329912354,0.40597945222667103,-0.412075559528974,0.0748962357911298,-1.0394968082947824,-0.17916449024118775,0,0,-0.02987320435480534,-0.03679904429866765
2001-02-13,0.06770569694473783,0.07566568135734753,0.4056893335735436,-0.412075559528974,0.07292000939471,-1.0243968443130562,0.00710062154957658,0,0,-0.04405625370269872,-0.029777240751968415
2001-02-14,0.07483230514385175,0.0912262469162548,0.4056814902248155,-0.412075559528974,0.08072137755494868,-1.2881380571651824,-0.15804242363887244,0,0,-0.012321352418456,-0.037825259111075926
2001-02-15,0.026808665005063403,0.08159969867932704,0.4054342818379231,-0.412075559528974,0.07828266132535266,-1.1159726133669448,-0.03302186830494591,0,0,-0.005119074317832539,-0.06053373379681071
2001-02-16,0.009883110033649833,0.07894269590423453,0.4053815370857359,-0.412075559528974,0.07891890551434777,-1.2398323012502088,0.04780784581932185,0,0,0.023209745849287478,-0.05990873381307593
2001-02-19,-0.01118623875769953,0.05571674624448253,0.4062282239943268,-0.412075559528974,0.06296610474407416,-1.4954674727471817,-0.091534809581447,0,0,0.03573165725588212,-0.03653608932469343
2001-02-20,0.02166720838870484,0.12951346620546578,0.39585138646153606,-0.412075559528974,0.08274242451593739,-1.5824556287151164,-0.11483925961237018,0,0,0.02276831746543584,-0.06352463043419843
2001-02-21,-0.01576021635374425,0.07511897104121901,0.3960963826169072,-0.412075559528974,0.05611302427523368,-1.5434968486152152,-0.05876530922625145,0,0,0.046675522904736644,-0.04242011420030023
2001-02-22,-0.058682200834390685,0.04651286787729725,0.39784500326072014,-0.412075559528974,0.034949749507895866,-1.8522915943566238,-0.15535044001916276,3,3,0.06976228395216078,-0.008004633319834142
2001-02-23,-0.0700135338610628,0.05131169398847013,0.39771144966388533,-0.412075559528974,0.033553804299433,-1.782938840359697,-0.11993522710971449,3,3,0.059895033592764824,-0.012013314935203523
2001-02-26,-0.010832598239239877,0.061785721719728626,0.3974327651996811,-0.412075559528974,0.03481776407542925,-1.2372660077610464,0.04061471915419057,0,3,0.07983663617168224,-0.03363972219473377
2001-02-27,-0.03179999899731023,0.07474875527583813,0.39488743500525353,-0.412075559528974,0.01921630435547672,-1.163118701760404,0.07637297878457394,3,3,0.0880412329953153,-0.022871724302056418
2001-02-28,-0.022389912179523908,0.08777864767596122,0.3940992518942766,-0.412075559528974,0.018735513375903068,-1.4959273109411413,0.005249355886143725,3,3,0.05891714062791986,-0.057066237030952593
2001-03-02,-0.09462538758772987,0.07104700885911241,0.398277255133562,-0.412075559528974,-0.01430367237583996,-1.4110338392710293,0.08326955784363443,3,3,0.08513871849519927,-0.03147788015642827
2001-03-05,-0.07662907699750088,0.09929810341359446,0.3972791384619521,-0.412075559528974,-0.004669037852069735,-1.4221083043830818,0.06954673469690098,3,3,0.0805298522560165,-0.011655924862137068
2001-03-06,-0.06627984050291813,0.0702848234327893,0.39260775358798133,-0.412075559528974,-0.0013077618354270237,-1.4757401334345133,-0.051031480012446284,3,3,0.05194041619711731,-0.028584089715176453
2001-03-07,-0.018164167041751833,0.026351955093704804,0.38335445659643963,-0.412075559528974,-0.00218317059075257,-1.4219931886121844,-0.05542980493933092,3,3,0.0571539096137883,-0.02822521697297664
2001-03-08,-0.012444999113992439,0.07885429780413711,0.37951900006066613,-0.412075559528974,0.014563999686969531,-1.8924965692638769,-0.08463438514070942,0,3,0.07336693455768906,-0.0417760167503185
2001-03-09,-0.018101655064454047,0.09549997500399754,0.37413548510748296,-0.412075559528974,-0.010963832391005401,-2.091551995901307,-0.143894179660069,3,3,0.07506711321063309,-0.026566086392534882
2001-03-12,-0.07863823208628973,0.07034144892061822,0.3808742539350796,-0.412075559528974,-0.04794734552591873,-1.8347722000442521,-0.09195663609648497,3,3,0.11393457116208894,-0.008219393760360294
2001-03-13,-0.11335584214313388,0.02626044425894536,0.38602546689455863,-0.412075559528974,-0.07805198944112435,-1.6744857814133358,-0.0482667409698343,3,3,0.16303960805802364,-0.09919118038070529
2001-03-14,-0.09332440215444315,0.08281350009114585,0.38654908136583593,-0.412075559528974,-0.051855456801875865,-1.8327877134720614,-0.09505114599896514,3,3,0.12971205806023978,-0.08104481468582536
2001-03-15,-0.09511007284913209,0.04810815935492774,0.3822049788756072,-0.412075559528974,-0.05457909777337644,-1.6721450135365639,0.030857988359905608,3,3,0.14235092639768454,-0.10988687718836598
2001-03-16,-0.10791122060099967,0.04012428831211379,0.3824253705946036,-0.412075559528974,-0.05965183775389882,-1.780278744885029,0.04935689697009238,3,3,0.1301539878052056,-0.1297825669936975
2001-03-19,-0.1148054060142728,0.020142019937512856,0.38219042062406017,-0.412075559528974,-0.06699052672455619,-1.1191981643502673,0.1374190101732422,3,3,0.1395765793972743,-0.09245227262940059
2001-03-20,-0.12122257178860396,-0.006020775074931595,0.3800461192768311,-0.412075559528974,-0.07106526214533648,-0.9356454730303139,0.1454789660456406,3,3,0.12063797401731957,-0.08435076767845395
2001-03-21,-0.1073959774918598,-0.04003237459656894,0.3726536881603149,-0.412075559528974,-0.06891673403862542,-1.1883068353811472,0.13317520384070347,3,3,0.1181772081107455,-0.09823698380291901
2001-03-22,-0.1341952290828704,-0.029516882949908063,0.37082622261999787,-0.412075559528974,-0.07841530495441629,-1.568787941462242,0.03261158558876076,3,3,0.13666640919299144,-0.10386109762301621
2001-03-23,-0.0951340652391287,-0.03561963142793967,0.3691500787224817,-0.412075559528974,-0.05928529084082379,-1.515369897533993,0.06312108645659764,3,3,0.11162342156317728,-0.10368602579957109
2001-03-26,-0.06415727258489723,-0.0025576827826625514,0.36849385742629115,-0.412075559528974,-0.04570087063536277,-1.65850112389233,-0.10948423284168829,3,3,0.07826301885138798,-0.13526132500780297
2001-03-27,-0.08674937178308173,-0.0020598793744147637,0.3683592098533699,-0.412075559528974,-0.06906971820015251,-1.856679536352995,-0.1961940586246569,3,3,0.09731653776631721,-0.11268533600945774
2001-03-28,-0.09657969758338036,-0.019433755121443297,0.36812442179178184,-0.412075559528974,-0.07670365023765902,-1.9665542203202409,-0.17983089548150266,3,3,0.10302774970725537,-0.10667746267614453
2001-03-29,-0.093096973266249,-0.013187641599438527,0.36725439346588323,-0.412075559528974,-0.08603350329068082,-2.0479231110322837,-0.1373584160478245,3,3,0.1361779663080802,-0.0842306150160238
2001-03-30,-0.09493168517640649,0.017521923621605096,0.36162756339541224,-0.412075559528974,-0.0875391219524323,-2.0673438540489735,-0.1581480202598784,3,3,0.14051455152304437,-0.04315576109287955
2001-04-02,-0.07907906127790454,0.006446607442652574,0.3628756029763106,-0.412075559528974,-0.10137521246919945,-1.8632978374280227,-0.0832618412881505,3,3,0.15355198656278835,-0.025776394535410807
2001-04-03,-0.10987299618079571,0.005313630902272326,0.3631653820797134,-0.412075559528974,-0.12173735806628128,-1.9789584414782684,-0.06878645183506782,3,3,0.18676228671168893,-0.014167636498940261
2001-04-04,-0.13105697223096568,-0.021659848562368134,0.3648262130182087,-0.412075559528974,-0.13682334641606897,-1.8929566215183196,-0.027233150458358946,3,3,0.20239417937578197,0.02819579663618632
2001-04-06,-0.10977070170892855,-0.028275286766812235,0.36263832087884923,-0.412075559528974,-0.11298664311393602,-2.016772029257375,-0.03750439545845419,3,3,0.14286274076932481,-0.0054521942218195285
2001-04-09,-0.14124436145521768,-0.045969740055991304,0.3642140043837509,-0.412075559528974,-0.1260598434869895,-1.2434920999406427,0.14206188250825402,3,3,0.1257186700823747,0.03938004397215855
2001-04-10,-0.1317696850674024,-0.11972693763262088,0.33719494902275404,-0.412075559528974,-0.13453848561552584,-1.1553296819462837,0.11844815041319423,3,3,0.13719180249415253,0.05128159727444803
2001-04-11,-0.06883770269512135,-0.1262287679924209,0.3337391198575099,-0.412075559528974,-0.1043830595741595,-2.0940626257941677,-0.06722530584778719,3,3,0.09087152630522888,0.012728294821223507
2001-04-12,-0.026061991200264534,-0.1234807797268197,0.33425967541734936,-0.412075559528974,-0.09132352534518129,-1.3990299577552254,0.07388884209915814,3,3,0.08895196180522369,0.014974331193188029
2001-04-13,-0.05002954690993244,-0.125135627649117,0.33410520677704875,-0.412075559528974,-0.08605184091344364,-1.6279427719761406,0.05272538946880978,3,3,0.06275918655424184,0.023619459442071777
2001-04-16,-0.06179061685461518,-0.09354325294387622,0.320435526662241,-0.412075559528974,-0.09736105574839227,-1.6347593329539427,-0.12048939725412655,3,3,0.07982686354881707,0.03119900792508501
2001-04-17,-0.04585370076422268,-0.0851207910332128,0.321355800813298,-0.412075559528974,-0.08495984771374931,-1.8526660884426558,-0.19301684591070245,3,3,0.05167628481760356,0.02737515443746763
2001-04-18,0.010611387585966137,-0.08142956013198965,0.3238300878781045,-0.412075559528974,-0.03702232992798982,-1.6285342667353326,0.0703164984174598,3,3,0.010629611545138973,-0.020925903320312522
2001-04-19,0.059669988338116875,-0.059582641805352665,0.33304242173103815,-0.412075559528974,0.0057640361868156464,-1.7178232735033394,-0.10821358464023279,3,3,-0.0454456262038464,-0.05824501198415344
2001-04-20,0.04449942728331746,-0.07810481292899063,0.333396989982569,-0.412075559528974,-0.004889814151130545,-1.5648011571344744,-0.02137485958473384,3,3,-0.05766768649768961,-0.026604807524037932
2001-04-23,0.06430132896948271,-0.058556993853460915,0.3331301971015235,-0.412075559528974,0.005421979273636968,-1.3112866028139494,0.04179712867846197,3,3,-0.0611830270168755,-0.03342603472455785
2001-04-24,0.032845781191499945,-0.08014232948072375,0.33221031060084294,-0.412075559528974,-0.003002770978803748,-1.3146822655260895,0.09237332013101529,3,3,-0.05319990781674866,-0.02201072849593888
2001-04-25,0.037290829545139514,-0.08622414391446687,0.33027552027833396,-0.412075559528974,0.01711509683244472,-1.1386160404135677,0.0857245411409675,3,3,-0.06554376239032256,-0.03261297252965456
2001-04-26,0.053893731257947275,-0.10491675162821212,0.3293686641899704,-0.412075559528974,0.009536258487077509,-1.258391201288101,0.08223809823697259,3,3,-0.03648372638531072,-0.049410633954031
2001-04-27,0.05264855237863286,-0.05931755487212664,0.30886072177041457,-0.412075559528974,0.0024068436199780052,-1.5514975380820637,-0.018692133012152556,3,3,-0.041499695279273996,-0.03381062314127481
2001-04-30,0.10225276595417432,-0.03215206588367514,0.3173880961787264,-0.412075559528974,0.040829930625090105,-1.2409754861148738,-0.005865119452398204,0,0,-0.062023691400761916,-0.057624288728348905
2001-05-02,0.11559199742056991,-0.0129198334316456,0.31775215697187553,-0.412075559528974,0.053043373613302025,-1.1137795805562838,0.026126304592219984,0,0,-0.03582325465545988,-0.05675861605269539
2001-05-03,0.1343167906976359,-0.05423111810275094,0.3048458914103328,-0.412075559528974,0.05414016549817058,-1.109536118718757,-0.014265577158822484,0,0,-0.02898699817542072,-0.03898019908489048
2001-05-04,0.1636131705729198,-0.04360609625891265,0.3044377517112041,-0.412075559528974,0.05633575932794477,-1.0926816863304012,0.01739174271186883,0,0,-0.02887632146434349,-0.03437500977125363
2001-05-07,0.2082480849321955,-0.019688372425204603,0.3066077464261138,-0.412075559528974,0.07534118402170642,-0.843524923662876,0.14331046527439373,0,0,-0.04548198639197398,-0.05778704225167641
2001-05-08,0.16729874702620595,0.02028800425589461,0.29061168680338567,-0.412075559528974,0.06528488150177947,-0.9536100018149508,0.048790164169431716,0,0,-0.03961681848074916,-0.030241485047362127
2001-05-09,0.16359111646818625,-0.013195114066065217,0.292475982215125,-0.412075559528974,0.04404701775416653,-1.455618948793448,-0.09302053942225053,0,0,-0.022285992356370854,-0.0036107158428948516
