,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y,price
43,2009-03-06,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989152277647,2,0.1332082551594746,2,0.1301989150090416,1055.030029296875
44,2009-03-09,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989164490466,2,0.1332082551594746,2,0.1301989150090416,1071.72998046875
45,2009-03-10,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1302005415902593,2,0.1332082551594746,2,0.1301989150090416,1092.199951171875
46,2009-03-11,1,0,2,3,0.16,0.1301989150090416,0.1302776722648893,3,0.16,2,0.1301989150090416,1127.510009765625
47,2009-03-12,1,0,2,3,0.16,0.1301989150090416,0.130322471451807,3,0.16,2,0.1301989150090416,1128.3900146484375
48,2009-03-13,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1304784963520977,2,0.1332082551594746,2,0.1301989150090416,1126.030029296875
49,2009-03-16,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1311089872216731,2,0.1332082551594746,2,0.1301989150090416,1125.4599609375
50,2009-03-17,1,0,2,2,0.16,0.1424657534246575,0.1413433532875396,3,0.16,3,0.1424657534246575,1163.8800048828125
51,2009-03-18,1,0,2,2,0.16,0.1424657534246575,0.1424624963486171,3,0.16,3,0.1424657534246575,1169.949951171875
52,2009-03-19,1,0,2,2,0.16,0.1424657534246575,0.1424656629186767,3,0.16,3,0.1424657534246575,1161.81005859375
53,2009-03-20,1,0,2,2,0.16,0.1424657534246575,0.1424657487524008,3,0.16,3,0.1424657534246575,1170.93994140625
54,2009-03-23,1,0,2,2,0.16,0.1424657534246575,0.1424657533950265,3,0.16,3,0.1424657534246575,1199.5
55,2009-03-24,1,0,2,2,0.16,0.1424657534246575,0.1424657534198929,3,0.16,3,0.1424657534246575,1221.699951171875
56,2009-03-25,1,0,2,2,0.16,0.1424657534246575,0.1424657534238307,3,0.16,3,0.1424657534246575,1229.02001953125
57,2009-03-26,1,0,2,2,0.16,0.1424657534246575,0.1424657534245243,3,0.16,3,0.1424657534246575,1243.800048828125
58,2009-03-27,1,0,2,2,0.16,0.1424657534246575,0.1424657534245769,3,0.16,3,0.1424657534246575,1237.510009765625
59,2009-03-30,1,0,2,2,0.16,0.1424657534246575,0.1424657533973747,3,0.16,3,0.1424657534246575,1197.4599609375
60,2009-03-31,1,0,2,2,0.16,0.1424657534246575,0.1424657534232215,3,0.16,3,0.1424657534246575,1206.260009765625
61,2009-04-01,1,0,2,2,0.16,0.1424657534246575,0.1424657534245918,3,0.16,3,0.1424657534246575,1233.3599853515625
62,2009-04-02,1,0,2,2,0.16,0.1424657534246575,0.1424657534246643,3,0.16,3,0.1424657534246575,1276.969970703125
