product,count,mean_payoff,median_payoff,std_payoff,q10,q90,loss_prob,downside_mean,downside_semivariance,rank_mean_payoff,rank_loss_prob,rank_q10
ETF,1148,0.11468686663152053,0.1160798813652206,0.21081732341493808,-0.12079573454655582,0.3629667273232055,0.29006968641114983,-0.12372110374637268,0.007859511260783662,1.0,3.0,3.0
Deposit,1148,0.015,0.015,0.0,0.015,0.015,0.0,0.0,0.0,3.0,1.0,1.0
ELD,1148,0.07263011970074346,0.1160798813652206,0.054049077459089,0.0,0.12,0.0,0.0,0.0,2.0,1.0,2.0
