일자,평균내재변동성_전체,평균내재변동성_CALL,평균내재변동성_PUT,역사적변동성_10일,역사적변동성_20일,역사적변동성_30일,역사적변동성_60일,역사적변동성_90일,역사적변동성_120일,역사적변동성_150일,역사적변동성_180일
"2000/02/25","35.00","40.90","33.30","40.60",,"37.70","39.40","38.40","38.30","40.20","40.90"
"2000/02/24","37.90","37.30","38.30","40.50",,"37.70","39.50","38.40","38.60","40.40","41.60"
"2000/02/23","38.50","39.20","37.50","40.50",,"38.20","39.50","38.40","38.60","40.50","41.60"
"2000/02/22","40.40","44.10","38.60","36.80",,"36.70","38.90","38.00","38.40","40.30","42.10"
"2000/02/21","40.20","45.40","39.30","35.40",,"38.90","38.80","38.20","38.40","40.60","42.20"
"2000/02/18","32.40","45.10","31.10","37.70",,"37.80","38.30","37.70","38.00","40.60","41.90"
"2000/02/17","38.40","38.20","38.70","37.40",,"37.90","38.50","37.70","38.30","40.80","42.00"
"2000/02/16","36.60","41.50","33.90","36.30",,"42.60","38.20","37.60","38.20","40.70","42.10"
"2000/02/15","36.00","39.00","35.90","36.80",,"43.70","39.10","38.70","38.80","40.90","42.10"
"2000/02/14","34.30","41.20","32.50","32.80",,"43.50","39.10","38.50","38.40","40.80","41.80"
"2000/02/11","29.50","33.20","28.60","29.10",,"41.90","38.00","38.00","37.80","40.40","41.40"
"2000/02/10","32.70","37.60","28.60","28.80",,"42.10","38.30","37.90","37.70","40.40","41.50"
"2000/02/09","28.40","28.20","28.60","28.60",,"42.10","38.20","38.50","38.10","40.60","41.50"
"2000/02/08","32.30","36.50","29.80","37.10",,"42.00","38.10","39.00","38.00","40.70","41.60"
"2000/02/07","33.70","33.80","33.20","36.40",,"41.90","38.90","39.00","38.40","40.70","41.50"
"2000/02/03","30.70","31.50","27.90","37.20",,"41.70","38.70","39.40","38.20","40.90","41.60"
"2000/02/02","35.60","40.40","31.00","37.50",,"41.70","38.70","39.50","38.40","41.00","41.60"
"2000/02/01","37.90","36.20","39.30","41.90",,"41.80","39.00","39.70","38.50","41.00","41.70"
"2000/01/31","38.50","38.50","38.20","41.30",,"43.00","38.70","39.60","38.40","41.00","41.70"
"2000/01/28","35.80","35.80","36.10","46.80",,"43.20","38.90","39.70","38.40","41.00","41.70"
"2000/01/27","40.10","41.30","37.40","41.80",,"41.60","39.50","39.80","38.40","40.80","41.80"
"2000/01/26","42.20","41.00","42.60","38.70",,"42.30","39.30","39.70","38.20","40.70","41.70"
"2000/01/25","37.70","42.00","37.30","40.00",,"42.40","39.90","39.80","38.20","40.70","42.00"
"2000/01/24","39.90","44.70","35.50","36.00",,"41.00","39.00","39.40","37.80","40.70","41.70"
"2000/01/21","37.10","40.60","34.60","42.80",,"41.10","39.00","39.40","38.10","40.80","41.70"
"2000/01/20","33.90","34.30","33.30","41.40",,"42.00","38.90","39.30","38.90","40.60","42.00"
"2000/01/19","33.40","34.20","33.20","42.40",,"41.90","38.90","39.20","38.90","40.80","42.00"
"2000/01/18","29.80","30.80","27.80","52.70",,"41.40","37.90","38.60","39.40","40.50","41.70"
"2000/01/17","31.20","31.40","30.50","55.50",,"41.40","38.10","39.00","39.70","40.80","41.70"
"2000/01/14","32.00","33.40","30.60","52.60",,"41.00","37.60","38.50","40.80","40.50","42.10"
"2000/01/13","35.00","48.50","25.50","53.80",,"41.40","38.80","38.50","40.90","41.50","42.10"
"2000/01/12","36.30","37.40","35.50","55.10",,"41.80","38.80","39.00","41.20","42.40","42.20"
"2000/01/11","39.10","31.80","45.20","53.50",,"41.00","38.30","38.80","41.20","42.30","42.20"
"2000/01/10","39.10","39.00","39.30","53.40",,"41.00","38.30","38.90","41.20","42.90","42.20"
"2000/01/07","32.90","49.70","25.40","49.30",,"39.30","37.70","38.30","41.10","42.80","42.00"
"2000/01/06","33.50","44.50","32.40","50.00",,"39.40","37.70","38.20","41.40","42.70","42.20"
"2000/01/05","35.20","50.10","30.60","47.60",,"39.30","37.50","38.40","41.50","42.70","42.10"
"2000/01/04","35.60","36.60","33.20","21.30",,"31.90","33.80","36.30","40.10","41.70","41.70"
"1999/12/28","35.30","38.30","21.20","31.90",,"33.60","35.00","36.70","40.10","41.60","41.60"
